127.0.0.1 - - [24/Apr/2024:09:07:19 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:07:20 +0900] "GET /controller1/ HTTP/1.1" 200 7139
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:07:20 +0900] "GET /controller1/resources/js/myfirstjs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:07:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:07:20 +0900] "GET /controller1/autocomplete?type=%EC%9E%91%EC%84%B1%EC%9E%90 HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:07:22 +0900] "GET /controller1/artist HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:07:25 +0900] "GET /controller1/artist HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:07:29 +0900] "GET /controller1/artist HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:07:30 +0900] "GET /controller1/ HTTP/1.1" 200 7139
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:07:31 +0900] "GET /controller1/autocomplete?type=%EC%9E%91%EC%84%B1%EC%9E%90 HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:07:32 +0900] "GET /controller1/artist HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:16:47 +0900] "GET /controller1/ HTTP/1.1" 200 7144
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:16:47 +0900] "GET /controller1/autocomplete?type=%EC%9E%91%EC%84%B1%EC%9E%90 HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:16:48 +0900] "GET /controller1/artist HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:24:02 +0900] "GET /controller1/ HTTP/1.1" 200 7166
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:24:02 +0900] "GET /controller1/autocomplete?type=%EC%9E%91%EC%84%B1%EC%9E%90 HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:24:03 +0900] "GET /controller1/artist HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:29:34 +0900] "GET /controller1/artist HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:29:42 +0900] "GET /controller1/artist HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:34:47 +0900] "GET /controller1/ HTTP/1.1" 200 7404
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:34:47 +0900] "GET /controller1/autocomplete?type=%EC%9E%91%EC%84%B1%EC%9E%90 HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:34:48 +0900] "GET /controller1/artist HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:34:50 +0900] "GET /controller1/artist HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:35:02 +0900] "GET /controller1/artist HTTP/1.1" 200 447
